Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,CV R² Mean,CV R² Std
Linear Regression,0.3251207490546879,0.3360610663807969,874.2059203969292,871.693072447209,413.54154293245455,435.26764762600595,0.2873357546055515,0.06409650915816338
Ridge Regression,0.32485939859370905,0.3379650821278557,874.3751743818483,870.4422729547092,409.8640622043778,431.0752216763842,0.2883644439117747,0.06541377294710345
Lasso Regression,0.32406140106536385,0.3392707016523244,874.891765420985,869.5835363049279,407.8823113103749,426.93937444146854,0.2879641646563481,0.06430399926196168
Random Forest,0.9776303165289899,0.8820474966848895,159.15878853645046,367.411806112752,26.16914625004724,70.80908323442306,0.9034591036398316,0.02867650363101199
Gradient Boosting,0.9999317370543184,0.9261343510425611,8.792112122282234,290.75071080836415,6.016852222442507,56.25036913370081,0.9285633656798911,0.015572480396206885
XGBoost,0.9998374546337664,0.9323671086296248,13.567130486617474,278.2136944937938,8.673633623308097,58.58956549219535,0.8819251471422248,0.062015084649955705
