Metric,Value
Total Movies,5311
Date Range,1915-2017
Total Revenue (Billion USD),485.62
Total Budget (Billion USD),167.16
Average ROI (%),343.89
Median ROI (%),106.67
Movies Profitable (%),70.0
Movies with Cast Data,5311
Unique Genres,16
Unique Years,99
Average Budget (Million USD),31.47
Average Revenue (Million USD),91.44
