Model,R2_Score,MAE,RMSE
XGBoost,0.3365710290520463,292.8798074695903,656.880770604433
Lasso Regression,0.31511762511917385,367.25372313605374,667.417096494252
Linear Regression,0.3149759334518817,368.74705348947197,667.4861321082619
Ridge Regression,0.3149470257978396,368.66173944850124,667.5002157409157
Gradient Boosting,0.30338054263802094,302.9004095656358,673.1116893239667
Random Forest,0.299029958031398,307.79792785001445,675.2103038032924
